pregprev,sex,race,age13,age14,age15,age16,age17,age18
no method,female,white,1.31090,4.43890,40.00970,47.22110,51.66960,46.87430
no method,female,black,,7.47080,29.01960,22.56570,27.20120,21.29140
no method,female,hispanic,1.09820,8.33590,27.25240,37.46410,37.74770,21.33680
no method,male,white,,7.49670,34.00970,25.49580,41.56060,17.63290
no method,male,black,,6.21270,16.57650,12.97150,24.09640,14.93570
no method,male,hispanic,,4.68320,21.06860,31.40570,26.92230,17.65250
effective,female,white,,52.26530,219.88240,345.18590,476.46930,290.36120
effective,female,black,,21.44050,57.32780,82.64340,116.14400,57.59050
effective,female,hispanic,,27.34960,86.92030,94.04440,110.88730,55.78710
effective,male,white,,59.70990,217.58710,373.10770,501.25630,312.16410
effective,male,black,0.57570,36.92900,104.12490,137.41900,108.23200,78.39920
effective,male,hispanic,1.13840,35.87460,114.42980,125.29070,132.66930,77.65770
withdrawal/other,female,white,,13.97820,34.90550,58.06710,80.93150,50.47830
withdrawal/other,female,black,,2.13020,16.10430,25.40690,23.23960,15.89790
withdrawal/other,female,hispanic,,5.94550,12.28170,19.21870,27.75020,14.54630
withdrawal/other,male,white,,7.35390,29.49070,40.99650,63.13650,34.98470
withdrawal/other,male,black,,5.95540,11.31770,20.60600,18.89680,13.54520
withdrawal/other,male,hispanic,,7.31370,15.11090,12.62690,31.71720,13.03750
not sure,female,white,,4.94260,13.12610,10.37230,8.34560,3.27110
not sure,female,black,,3.01070,2.82240,4.52990,3.71750,2.36170
not sure,female,hispanic,,7.65630,4.59990,3.95380,5.63730,2.04600
not sure,male,white,,1.88200,12.86960,12.89710,16.70810,11.69520
not sure,male,black,,2.01110,9.12890,12.01940,12.00550,6.75250
not sure,male,hispanic,,0.89340,13.13390,10.81780,8.68900,6.85490
