sex,race4,age13,age14,age15,age16,age17,age18
Male,White,0.59540,504.73520,1217,1344,1237,752.38830
Male,Black,2.34700,120.38180,294.29720,305.92330,270.75240,172.08220
Male,Hispanic,2.43880,191.18360,397.99920,393.18950,329.97700,186.49890
Male,Other,,86.31490,148.60850,182.94900,141.52800,97.56960
Female,White,5.48330,510.82280,1018,1094,1166,590.09700
Female,Black,1.27700,125.39500,276.71400,295.81860,281.76150,165.05240
Female,Hispanic,2.24670,183.95290,407.19060,385.43870,340.52800,152.58620
Female,Other,1.08400,92.91300,189.52030,173.54220,155.22450,74.41240
