sex,race4,age13,age14,age15,age16,age17,age18
Male,White,1.66630,303.48590,1103,1035,972.84880,752.13800
Male,Black,,114.01130,294.08330,268.86790,250.62210,162.46710
Male,Hispanic,2.25360,185.52100,453.79560,417.06490,410.70870,250.33200
Male,Other,0.93140,88.44920,231.55990,168.92700,177.20720,114.57730
Female,White,1.10390,441.78080,1029,1097,1008,554.26400
Female,Black,1.03080,116.51270,238.95220,266.81650,229.38080,121.44270
Female,Hispanic,1.89070,182.59000,453.50020,406.53940,380.94540,232.35110
Female,Other,0.48350,92.49010,172.49010,165.16530,158.72060,85.13670
