sex,race4,age13,age14,age15,age16,age17,age18
Male,White,7.91720,304.27110,865.75010,917.52670,958.94880,660.39590
Male,Black,1.10480,108.26990,188.42300,253.20610,212.66620,160.92140
Male,Hispanic,1.42580,158.19500,316.65440,373.39370,316.67630,212.33770
Male,Other,3.46280,68.00150,137.03310,142.87620,140.04470,76.38700
Female,White,0.71740,334.01880,945.05770,920.17270,920.19490,542.91260
Female,Black,0.70900,103.96280,213.97380,256.14820,249.25390,147.33190
Female,Hispanic,1.49550,171.27000,381.52930,336.24860,318.76750,209.65060
Female,Other,1.25060,85.58130,137.37330,166.50570,146.96440,63.55870
